customer_id,month,session_count
CUST00001,1,6
CUST00001,2,14
CUST00001,3,12
CUST00001,4,16
CUST00001,5,18
CUST00001,6,7
CUST00001,7,15
CUST00001,8,7
CUST00001,9,9
CUST00001,10,16
CUST00001,11,4
CUST00001,12,18
CUST00002,1,9
CUST00002,2,5
CUST00002,3,15
CUST00002,4,4
CUST00002,5,7
CUST00002,6,8
CUST00002,7,10
CUST00002,8,3
CUST00002,9,17
CUST00002,10,21
CUST00002,11,11
CUST00002,12,12
CUST00003,1,22
CUST00003,2,37
CUST00003,3,14
CUST00003,4,51
CUST00003,5,22
CUST00003,6,25
CUST00003,7,25
CUST00003,8,33
CUST00003,9,33
CUST00003,10,71
CUST00003,11,51
CUST00003,12,51
CUST00004,1,10
CUST00004,2,10
CUST00004,3,8
CUST00004,4,10
CUST00004,5,12
CUST00004,6,5
CUST00004,7,2
CUST00004,8,9
CUST00004,9,16
CUST00004,10,7
CUST00004,11,9
CUST00004,12,9
CUST00005,1,12
CUST00005,2,6
CUST00005,3,11
CUST00005,4,10
CUST00005,5,9
CUST00005,6,9
CUST00005,7,9
CUST00005,8,16
CUST00005,9,6
CUST00005,10,7
CUST00005,11,3
CUST00005,12,14
CUST00006,1,5
CUST00006,2,6
CUST00006,3,4
CUST00006,4,2
CUST00006,5,5
CUST00006,6,3
CUST00006,7,3
CUST00006,8,3
CUST00006,9,0
CUST00006,10,6
CUST00006,11,9
CUST00006,12,4
CUST00007,1,7
CUST00007,2,9
CUST00007,3,10
CUST00007,4,15
CUST00007,5,16
CUST00007,6,16
CUST00007,7,7
CUST00007,8,5
CUST00007,9,18
CUST00007,10,12
CUST00007,11,8
CUST00007,12,22
CUST00008,1,7
CUST00008,2,14
CUST00008,3,6
CUST00008,4,4
CUST00008,5,6
CUST00008,6,15
CUST00008,7,8
CUST00008,8,7
CUST00008,9,12
CUST00008,10,5
CUST00008,11,8
CUST00008,12,13
CUST00009,1,5
CUST00009,2,9
CUST00009,3,4
CUST00009,4,3
CUST00009,5,3
CUST00009,6,1
CUST00009,7,1
CUST00009,8,4
CUST00009,9,2
CUST00009,10,6
CUST00009,11,6
CUST00009,12,13
CUST00010,1,5
CUST00010,2,6
CUST00010,3,5
CUST00010,4,12
CUST00010,5,11
CUST00010,6,5
CUST00010,7,14
CUST00010,8,13
CUST00010,9,6
CUST00010,10,13
CUST00010,11,10
CUST00010,12,7
CUST00011,1,17
CUST00011,2,26
CUST00011,3,8
CUST00011,4,5
CUST00011,5,12
CUST00011,6,8
CUST00011,7,16
CUST00011,8,11
CUST00011,9,11
CUST00011,10,8
CUST00011,11,7
CUST00011,12,5
CUST00012,1,8
CUST00012,2,7
CUST00012,3,2
CUST00012,4,9
CUST00012,5,8
CUST00012,6,12
CUST00012,7,4
CUST00012,8,2
CUST00012,9,9
CUST00012,10,11
CUST00012,11,11
CUST00012,12,5
CUST00013,1,3
CUST00013,2,6
CUST00013,3,6
CUST00013,4,9
CUST00013,5,13
CUST00013,6,2
CUST00013,7,3
CUST00013,8,7
CUST00013,9,5
CUST00013,10,11
CUST00013,11,6
CUST00013,12,8
CUST00014,1,1
CUST00014,2,7
CUST00014,3,6
CUST00014,4,2
CUST00014,5,12
CUST00014,6,2
CUST00014,7,5
CUST00014,8,10
CUST00014,9,4
CUST00014,10,7
CUST00014,11,4
CUST00014,12,10
CUST00015,1,0
CUST00015,2,1
CUST00015,3,2
CUST00015,4,4
CUST00015,5,7
