customer_id,customer_segment_x,city,total_sessions,total_energy_kwh,avg_energy_kwh,avg_duration_minutes,peak_sessions,peak_share,off_peak_share,weekend_share,time_diversity_score,flexibility_score,flexibility_category,peak_dependence,behavioural_confidence,intervention_eligible,intervention_priority,customer_segment_y,eligible_for_intervention,intervention_score,priority_band,estimated_shiftable_peak_sessions
CUST01186,High_Mileage,Kochi,481,12054.74,25.061829521829523,55.987525987525984,172,0.3575883575883576,0.6424116424116424,0.340956340956341,90.97212769358649,66.2,High Flexibility,Moderate Peak Dependence,High,True,Low Priority,High_Mileage,True,60.58853430353431,Medium,113.864
CUST03288,High_Mileage,Hyderabad,568,12298.49,21.652271126760564,33.142605633802816,201,0.3538732394366197,0.6461267605633803,0.3415492957746479,89.02003732518637,65.8,Moderate Flexibility,Moderate Peak Dependence,High,True,Low Priority,High_Mileage,True,60.457429577464794,Medium,132.25799999999998
CUST05705,High_Mileage,Delhi NCR,449,15208.53,33.872004454342985,51.770601336302896,161,0.3585746102449889,0.6414253897550111,0.3162583518930957,91.39919256100389,65.8,Moderate Flexibility,Moderate Peak Dependence,High,True,Low Priority,High_Mileage,True,60.295484409799556,Medium,105.93799999999999
CUST06073,High_Mileage,Chennai,502,17748.08,35.35474103585658,77.82270916334662,159,0.3167330677290836,0.6832669322709164,0.3466135458167331,94.11765699546528,69.3,High Flexibility,Low Peak Dependence,High,False,Not Eligible,High_Mileage,True,60.29057270916334,Medium,110.187
CUST03013,High_Mileage,Mumbai,572,16223.21,28.362255244755243,73.81643356643356,201,0.3513986013986014,0.6486013986013985,0.3216783216783216,89.24602680821191,65.6,Moderate Flexibility,Moderate Peak Dependence,High,True,Low Priority,High_Mileage,True,60.28344405594406,Medium,131.856
CUST06920,High_Mileage,Kochi,443,14252.39,32.17243792325056,76.11286681715576,148,0.3340857787810384,0.6659142212189616,0.3769751693002257,91.60395534618029,68.3,High Flexibility,Moderate Peak Dependence,High,False,Not Eligible,High_Mileage,True,60.28218115124154,Medium,101.08399999999999
CUST05223,High_Mileage,Delhi NCR,441,6639.91,15.056485260770977,30.480725623582767,155,0.3514739229024943,0.6485260770975056,0.3378684807256236,91.30574885551204,66.6,High Flexibility,Moderate Peak Dependence,High,True,Low Priority,High_Mileage,True,60.27895691609977,Medium,103.22999999999999
CUST05568,High_Mileage,Chandigarh,559,17537.6,31.373166368515204,48.71735241502683,179,0.3202146690518783,0.6797853309481217,0.3273703041144901,93.75350027314684,68.7,High Flexibility,Low Peak Dependence,High,False,Not Eligible,High_Mileage,True,60.26233676207514,Medium,122.97300000000001
CUST04791,High_Mileage,Kolkata,462,13407.29,29.020108225108228,61.7965367965368,162,0.3506493506493506,0.6493506493506493,0.2965367965367965,92.65055692051448,66.2,High Flexibility,Moderate Peak Dependence,High,True,Low Priority,High_Mileage,True,60.21347402597402,Medium,107.244
CUST00082,High_Mileage,Ahmedabad,432,11770.34,27.24615740740741,41.226851851851855,151,0.349537037037037,0.650462962962963,0.3101851851851852,93.5358227904041,66.8,High Flexibility,Moderate Peak Dependence,High,True,Low Priority,High_Mileage,True,60.20148148148148,Medium,100.868
CUST05738,High_Mileage,Hyderabad,474,11178.37,23.58305907172996,44.052742616033754,161,0.339662447257384,0.6603375527426161,0.3164556962025316,92.55818215546782,67.1,High Flexibility,Moderate Peak Dependence,High,False,Not Eligible,High_Mileage,True,60.19649789029536,Medium,108.03099999999999
CUST00713,High_Mileage,Pune,483,16375.56,33.90385093167702,67.16356107660455,146,0.3022774327122153,0.6977225672877847,0.3643892339544513,95.01636524744956,70.7,High Flexibility,Low Peak Dependence,High,False,Not Eligible,High_Mileage,True,60.18859730848861,Medium,103.22200000000001
CUST00594,High_Mileage,Mumbai,471,8460.08,17.96195329087049,44.64543524416136,162,0.3439490445859872,0.6560509554140128,0.3205944798301486,91.51370025319932,66.7,High Flexibility,Moderate Peak Dependence,High,True,Low Priority,High_Mileage,True,60.18796178343949,Medium,108.054
CUST00910,High_Mileage,Pune,468,18429.28,39.378803418803415,75.86752136752136,156,0.3333333333333333,0.6666666666666667,0.344017094017094,91.9646399932452,67.8,High Flexibility,Moderate Peak Dependence,High,False,Not Eligible,High_Mileage,True,60.187083333333334,Medium,105.76799999999999
